unique_id,ds,y,Autoformer,LSTM,NHITS,BiTCN,DeepAR,KAN,MLP,NBEATS,PatchTST,TCN,TFT,cutoff_value,position
NVDA,2024-09-03 14:25:00-04:00,108.285,108.70306,109.42011,109.143364,109.33164,109.4982,109.62835,109.34194,108.66162,108.97792,113.37882,109.24088,109.005,4
NVDA,2024-09-03 14:30:00-04:00,108.735,108.92723,109.499535,109.137566,109.41121,109.58714,109.66706,109.34952,108.68763,108.94771,113.60525,109.254745,109.005,5
NVDA,2024-09-03 14:35:00-04:00,108.645,108.78045,108.973305,108.7106,108.64221,108.6948,109.22353,108.85413,108.787224,108.71549,113.165054,108.693146,108.735,0
NVDA,2024-09-03 14:40:00-04:00,108.195,108.6803,108.895645,108.54201,108.65091,108.74174,109.124176,108.64846,108.65756,108.63875,112.65484,108.75086,108.735,1
NVDA,2024-09-03 14:45:00-04:00,108.47,108.63351,108.974556,108.35958,108.6241,108.84253,109.024055,108.63282,108.56274,108.603905,113.04811,108.84092,108.735,2
NVDA,2024-09-03 14:50:00-04:00,108.245,108.730484,108.989006,108.24636,108.611694,108.98389,108.95188,108.619675,108.48949,108.62581,113.163315,108.91491,108.735,3
NVDA,2024-09-03 14:55:00-04:00,108.82,108.6738,108.980865,108.229996,108.606735,109.0159,108.896385,108.76917,108.5024,108.69708,112.912674,108.9701,108.735,4
NVDA,2024-09-03 15:00:00-04:00,109.0069,108.38612,109.04972,108.298645,108.67156,109.14526,108.98399,108.820244,108.53536,108.66207,113.12468,109.007675,108.735,5
NVDA,2024-09-03 15:05:00-04:00,108.8642,109.140686,109.26581,109.07451,108.94934,109.02377,107.96184,109.15619,108.96568,109.00913,113.03667,108.96759,109.0069,0
NVDA,2024-09-03 15:10:00-04:00,108.89,109.10888,109.19467,109.14178,108.933,109.08612,107.90781,109.00794,108.98208,108.99306,112.53569,108.98492,109.0069,1
NVDA,2024-09-03 15:15:00-04:00,108.6999,109.30499,109.268776,109.18885,108.97336,109.231186,108.04861,109.0552,109.06167,108.96628,112.92523,109.00418,109.0069,2
